,brand_name,screen_size_cm,screen_size_inch,resolution,screen_type,price,ratings,no_of_ratings,reviews,launch_year
243,Infinix,80,32,HD Ready,LED,7999,4.3,58660,5830,2024
244,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
245,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
246,realme,80,32,HD Ready,QLED,9499,4.1,9053,686,2025
247,Foxsky,60,24,HD Ready,LED,5499,4.1,8820,2025,2025
248,Thomson,100,40,Full HD,LED,14499,3.9,126694,21850,2023
249,Samsung,80,32,HD Ready,LED,13990,4.3,104133,6444,2025
250,Coocaa,108,43,Full HD,LED,13499,4.5,25833,2989,2025
251,HUIDI,60,24,HD Ready,LED,4499,4.3,8820,900,2024
252,Foxsky,109,43,Full HD,LED,12499,3.9,8820,2025,2023
253,iFFALCON,80,32,HD Ready,LED,8999,4.1,2709,190,2025
254,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
255,XIAOMI,80,32,HD Ready,LED,11999,4.2,96782,6489,2024
256,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.4,11449,2821,2023
257,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
258,Acer,80.01,32,HD Ready,LED,10999,4.3,9955,939,2024
259,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
260,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
261,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.3,4095,1162,2024
262,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
263,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
264,Foxsky,80,32,HD Ready,QLED,7499,4.4,4095,1162,2024
265,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
266,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
267,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
268,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
269,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
270,realme,80,32,HD Ready,QLED,9499,4.2,9053,686,2025
271,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
272,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
273,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
274,Coocaa,108,43,Full HD,LED,13499,4.1,25833,2989,2025
275,HUIDI,60,24,HD Ready,LED,4499,4.1,8820,900,2024
276,Foxsky,109,43,Full HD,LED,12499,4.2,8820,2025,2023
277,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
278,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
279,XIAOMI,80,32,HD Ready,LED,11999,4.1,96782,6489,2024
280,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.1,11449,2821,2023
281,XIAOMI,108,43,Full HD,LED,21999,4.3,96782,6489,2025
282,Acer,80.01,32,HD Ready,LED,10999,4.3,9955,939,2024
283,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
284,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
285,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.1,4095,1162,2024
286,Thomson,126,50,Ultra HD (4K),LED,23999,4.1,40692,9599,2023
287,iFFALCON,108,43,Ultra HD (4K),LED,19999,3.9,2731,247,2025
288,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
